nan -17.0 -17.0 -12.0 -17.0 -10.0 -2.0 -10.0 -10.0 -7.0 -7.0 -3.0 -10.0 2.8 3.0 -10.0 nan 1.8 nan -5.0 -10.0 -5.0 -5.0 -10.0 -5.0 -4.0 -4.0 -2.0 -3.0 -4.0 nan nan 0.7 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.8 nan nan nan nan nan nan nan nan nan nan
-17.0 nan -17.0 -17.0 -17.0 -7.0 -7.0 -12.0 -12.0 -4.0 -3.0 nan -7.0 1.8 nan -7.0 1.8 nan 3.0 1.3 -5.0 -10.0 -5.0 -5.0 -1.0 -10.0 -2.0 -3.0 -4.0 -7.0 1.8 1.3 -3.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.0 nan nan 3.0 nan nan nan
-17.0 -17.0 nan -17.0 -17.0 -12.0 -12.0 -5.0 -10.0 -5.0 -7.0 0.7 -4.0 3.0 nan 3.0 0.7 3.0 3.0 3.0 -5.0 -10.0 -5.0 -7.0 0.7 3.0 0.7 1.8 -7.0 -5.0 -3.0 nan 1.8 3.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.0 nan nan nan 0.7 3.0 nan 3.0 nan nan nan
-12.0 -17.0 -17.0 nan -17.0 -10.0 -12.0 -4.0 -5.0 -2.0 -10.0 2.3 -7.0 nan 3.0 -5.0 1.3 1.8 nan -10.0 -7.0 0.7 -7.0 -10.0 -4.0 -10.0 -12.0 -2.0 nan -5.0 0.7 nan -5.0 -3.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -2.0 0.7 nan nan -2.0 1.3 nan 0.7 nan nan nan
-17.0 -17.0 -17.0 -17.0 nan -7.0 -10.0 -7.0 -10.0 -5.0 -7.0 -2.0 -7.0 1.3 nan -1.0 1.3 0.7 nan -7.0 -12.0 -5.0 -4.0 -12.0 -10.0 -10.0 -12.0 3.0 -4.0 -3.0 -10.0 0.7 -7.0 2.8 nan nan nan nan nan nan nan nan 2.3 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -5.0 2.8 nan nan 3.0 nan nan 3.0 nan nan nan
-10.0 -7.0 -12.0 -12.0 -10.0 nan -17.0 -17.0 -17.0 -12.0 -12.0 -10.0 -10.0 -12.0 -10.0 -7.0 -10.0 -10.0 -12.0 -12.0 3.0 -10.0 -7.0 -7.0 -12.0 -12.0 -10.0 -4.0 -10.0 -4.0 -5.0 -10.0 -7.0 2.8 -4.0 nan nan nan nan nan nan nan -7.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.0 2.8 nan nan nan nan nan nan nan nan 1.3 -2.0 nan nan -1.0 nan nan 1.3 nan nan nan
-5.0 -5.0 -12.0 -12.0 -10.0 -17.0 nan -17.0 -17.0 -12.0 -12.0 -10.0 -10.0 -10.0 -12.0 -10.0 -7.0 -7.0 -10.0 -10.0 2.8 -7.0 -5.0 -10.0 -10.0 -10.0 -10.0 -7.0 -3.0 -5.0 -3.0 nan -7.0 2.3 -3.0 nan nan nan nan nan nan nan -5.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.0 nan nan nan -4.0 -4.0 nan nan -4.0 0.7 nan 0.7 nan nan nan
-10.0 -12.0 -7.0 -5.0 -10.0 -17.0 -17.0 nan -12.0 -12.0 -12.0 -10.0 -12.0 -12.0 -12.0 -10.0 -10.0 -1.0 -12.0 -10.0 3.0 -12.0 -7.0 -7.0 -12.0 1.3 -5.0 0.7 1.3 -7.0 1.8 3.0 -5.0 -3.0 -1.0 nan nan nan nan nan nan nan -3.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.0 nan nan -3.0 -3.0 nan 3.0 nan nan nan
-12.0 -12.0 -10.0 -5.0 -12.0 -17.0 -17.0 -17.0 nan -10.0 -17.0 -7.0 -17.0 -12.0 -10.0 0.7 -7.0 -12.0 -12.0 -2.0 -3.0 -12.0 -7.0 -4.0 -10.0 -3.0 -7.0 0.7 -4.0 -7.0 -5.0 -4.0 -10.0 -2.0 0.7 nan nan nan nan nan nan nan 1.8 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -3.0 nan nan nan -4.0 nan nan 3.0 nan nan nan
-5.0 -3.0 -5.0 -2.0 -7.0 -12.0 -12.0 -12.0 -7.0 nan -12.0 -17.0 -17.0 -12.0 -12.0 -12.0 -17.0 -12.0 -12.0 -17.0 nan nan nan nan nan nan nan 3.0 1.8 1.8 nan -2.0 nan -1.0 -5.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
